,sensor,threshold,Number of Stanford Defined Events,Number of Team Defined Events,Detection Rate (%),Non-Emission Accuracy (%),Reliability of Identifications (%),Reliability of Non-Emission Identifications (%)
0,Andium,1,376,223,62.56,87.25,94.62,60.0
1,Andium,2,376,223,62.56,87.25,94.62,60.0
2,Andium,4,376,223,62.56,87.25,94.62,60.0
3,Canary,1,98,37,95.35,47.27,90.91,96.15
4,Canary,2,93,37,95.0,49.06,90.91,96.15
5,Canary,4,89,37,94.74,50.98,90.91,96.15
6,Ecoteco,1,193,1039,27.27,94.29,73.25,30.3
7,Ecoteco,2,185,1039,25.61,95.15,73.45,29.37
8,Ecoteco,4,173,1041,25.33,96.94,74.5,28.39
9,Kuva,1,321,325,91.94,73.64,95.74,43.48
10,Kuva,2,321,325,91.94,73.64,95.74,43.48
11,Kuva,4,321,325,91.94,73.64,95.74,43.48
12,Oiler,1,179,233,69.92,92.86,97.22,28.0
13,Oiler,2,179,233,69.92,92.86,97.22,28.0
14,Oiler,4,179,233,69.92,92.86,97.22,28.0
15,Qube,1,248,206,72.73,71.74,86.21,47.9
16,Qube,2,232,206,75.0,74.24,86.21,47.9
17,Qube,4,218,206,74.73,76.38,87.36,47.9
18,Sensirion,1,269,113,90.6,51.97,84.21,90.67
19,Sensirion,2,253,113,89.72,54.11,84.21,90.67
20,Sensirion,4,238,113,88.78,55.0,84.21,86.67
